MD5;ROM Serial;Name (No-Intro);is_synthetic
18B2C4989209373C0CBA9BC58075B2FD;DMG-AGUJ-0;Ganbare Goemon - Tengutou no Gyakushuu (Japan) (GB Compatible);False
8707AD4AD9645D2DCFB33821697173A6;CGB-B3HJ-0;Ganbare! Nippon! Olympic 2000 (Japan);True
07DE70BD0E839DD1D4BE2670B2E1D33F;CGB-BHRJ-0;GB Harobots (Japan);True
3BC2DB27BAFF012307501C31D49922AC;CGB-BHOD-0;Geheimnis der Happy Hippo-Insel, Das (Germany);False
19DFB14A0D31742F02BFA101D5054169;CGB-BDJJ-0;Gekisou Dangun Racer - Onsoku Buster Dangun Dan (Japan);True
286B53AA6F97E97A8D2C26801C8B2E91;DMG-AJYJ-0;Gem Gem Monster (Japan) (SGB Enhanced) (GB Compatible);True
09F75CC7DC00A7AE8AE4B586092FE045;CGB-BGSJ-0;Gensou Maden Saiyuuki - Sabaku no Shijin (Japan);False
84973A134E9E4245D8138AC11807CA3F;DMG-VRKJ-0;Get Chuu Club - Minna no Konchuu Daizukan (Japan) (Rumble Version) (SGB Enhanced) (GB Compatible);False
F0462EBA75D879C40668E20D1DBDB612;DMG-AEXP-0;Gex - Enter the Gecko (USA, Europe) (GB Compatible);True
89D563BCC7B6F2F087CDAFA8A78A8AA7;CGB-AXGP-0;Gex 3 - Deep Cover Gecko (Europe) (En,Fr,De,Es,It);True
91EB6DB42E92E2DF05CC2B40F0DBC2F0;CGB-AXGE-0;Gex 3 - Deep Pocket Gecko (USA);True
9B846E9A4EB6B80CDBC8E6C82F2B9E9E;DMG-AG9P-0;Ghosts'n Goblins (USA, Europe) (GB Compatible);False
75B4FAFFD8E9C0277B911D1D0E6ECE6A;CGB-BGFP-0;Gift (Europe);False
D1B2C36DEF4B361645EAE44F6A0C53EA;CGB-BGFD-0;Gifty (Germany) (En);False
E019B0790EF6E7B2DD39AFDBEC8BA651;DMG-AICJ-0;Glocal Hexcite (Japan) (SGB Enhanced) (GB Compatible);True
BA1D07A8282202081AF5AD985F0C31AD;CGB-BFGE-0;Gobs of Games (USA) (En,Fr,De);True
149073AFD1CF8AE83783143A166592F7;DMG-AZIP-0;Godzilla - The Series (Europe) (En,Fr,De) (GB Compatible);True
7B4345DAF8EBDA416A84C5932BF817EC;DMG-AZIE-0;Godzilla - The Series (USA) (En,Fr,De) (GB Compatible);True
6F67B154450BD3D88924C179F8165721;CGB-BGDP-0;Godzilla - The Series - Monster Wars (Europe) (En,Fr,De);False
597BD5A8AA26AF757CBA57AFF575EAA3;CGB-BGDE-0;Godzilla - The Series - Monster Wars (USA) (En,Fr,De);True
041B8A455B63BEB718D70C8F89FAC9D3;CGB-BEDP-0;Gold and Glory - The Road to El Dorado (Europe) (En,Fr,De,Es,It,Nl);True
7BF3B13931F2A50EBE071A18EA14F28B;CGB-BEDE-0;Gold and Glory - The Road to El Dorado (USA);True
51F21F61592F05E712B36A0BF10A34A6;DMG-AAFX-0;Golden Goal (Europe) (En,Fr,De,Es,It,Nl,Sv) (GB Compatible);True
781AFD1E98B3743C835FCC16DF624895;DMG-AAFD-0;Golden Goal (Germany) (En,Fr,De,Es,It,Nl,Sv) (GB Compatible);False
EF24106662AE769DBA0C410933736332;DMG-AAGJ-0;Golf Daisuki! (Japan) (SGB Enhanced) (GB Compatible);True
CB2969699AC7DECA731D67AA473E0024;DMG-AOHJ-0;Golf de Ohasuta (Japan) (GB Compatible);True
296A232C36D6457301FD8AB9D9E35290;DMG-AZAJ-0;Golf Ou (Japan) (SGB Enhanced) (GB Compatible);True
52E260E54D59FD16CD5CC588123D3E48;CGB-B54J-0;Gonta no Okiraku Daibouken (Japan);True
139334587DB40E73F0CADCB06CA0CE61;DMG-AOEJ-0;Goraku Ou Tango! (Japan) (GB Compatible);True
2F4F1776863912BFC63EA49A19E4231B;DMG-AOAP-0;Grand Theft Auto (Europe) (En,Fr,De,Es,It) (GB Compatible);True
3322493D6B7A70BFDEA6F6231CEB1CE0;DMG-AOAE-0;Grand Theft Auto (USA) (GB Compatible);True
7DE54692E7B42E945B318D20079A5EFD;CGB-BGTP-0;Grand Theft Auto 2 (Europe) (En,Fr,De,Es,It);True
